"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
89062.4,66526,87737,24006.4,18483,85120.4,1939.56,1116.78,1329.72,21.39,54,47444.8,0.21625
58828.7,47222,81644.1,15228.4,11738,85023.5,756.84,669.9,855.54,25.11,28.8,36622.5,0.21831
45180.1,38215,77480.6,23188.2,18899,80409.6,1191.96,1131.48,1265.04,45.57,54.9,52882.3,0.220369
68862.5,50200,89899.9,27940.1,21425,85464.7,1666.56,971.88,1302,21.39,97.2,43938.5,0.224488
51037.7,39369,84960.4,19749.2,15385,84126.5,1822.8,650.16,642.18,67.89,45,27223.8,0.231697
102223,72265,92704.5,40274.6,30852,85551.6,3331.44,1444.38,1756.02,83.7,172.8,62145.3,0.234786
104108,65424,104286,70136.6,42764,107485,3617.04,2884.98,3590.16,111.6,170.1,114808,0.237875
99741.6,64763,100932,28530.6,20235,92403.3,1466.64,837.48,747.6,27.9,90.9,33225.3,0.238905
107628,67261,104868,43795.9,30448,94265.9,1117.2,783.3,955.08,45.57,93.6,37390.7,0.238905
89659.5,62267,94366.6,26629.7,19871,87826.6,1604.4,829.92,938.7,66.96,67.5,35223.6,0.239935
84074.2,57281,96190.5,31378.2,23273,88360,1451.52,972.3,1059.24,103.23,95.4,37660.9,0.240964
41828.5,27145,100986,27625.1,20756,87224.8,2108.4,653.94,800.1,22.32,87.3,28659.8,0.241994
77552.3,53386,95202.3,27224.4,20862,85522.9,1441.44,1076.46,1359.12,79.98,87.3,42613.3,0.241994
71194.9,49851,93595.5,33729.4,23206,95255,2021.04,1049.58,1281.42,43.71,116.1,40420.9,0.243024
58815.4,37304,103327,32398,22833,92989.6,2627.52,1315.44,1610.28,31.62,56.7,60839.6,0.243024
45848.6,31823,94420.2,46772.9,32578,94091.3,2056.32,784.98,761.46,62.31,105.3,29334.8,0.244054
95694.9,73135,85751.8,23015.2,17634,85534.9,872.76,713.16,776.16,26.04,88.2,33466.6,0.244054
102521,69068,97277.9,29596.6,22312,86932.6,892.92,981.54,1072.26,65.1,77.4,40683.4,0.245083
141244,87982,105210,113544,59559,124938,12159,6082.44,7643.58,133.92,331.2,241672,0.245083
60827.2,51975,76697.9,12886.4,10891,77543.5,542.64,359.52,347.34,13.02,53.1,14709.9,0.246113
51219,39127,85789.6,15968.4,12692,82453.9,1157.52,530.46,558.18,28.83,36.9,22018.8,0.247143
72659.3,41157,115698,39744.6,27725,93947.8,1990.8,782.04,946.26,46.5,108,31278.8,0.250232
74847.5,49794,98510,30914.5,21294,95144.8,2428.44,1459.5,2023.98,44.64,99.9,68574.5,0.251262
81746,63904,83833.7,21411.6,17032,82387.9,651,1054.2,1512.84,86.49,197.1,51190.8,0.252292
90157.2,66316,89096.8,31140.5,23388,87259.4,1104.6,680.82,886.62,56.73,101.7,30573.2,0.255381
58620.8,42140,91166.9,18994.9,15032,82813.4,1247.4,631.68,694.68,41.85,70.2,24566.4,0.255381
54315.1,33811,105279,29077.4,20491,92997.9,3359.16,1538.04,2020.62,97.65,128.7,64808.5,0.255381
79369.5,53917,96473.5,20368.3,15024,88848.4,2052.96,699.3,847.14,93,80.1,28948.3,0.257441
58009.7,39766,95602.4,28358.4,21054,88272.8,952.56,867.72,972.3,63.24,76.5,35867.3,0.25847
89618.9,63824,92022.8,27266.4,20472,87286.6,1443.12,1375.92,1869.84,5.58,41.4,61407.2,0.2595
49901.6,40990,79784.1,15932.3,12798,81586,1349.88,508.2,568.26,25.11,-7.2,26715.8,0.2595
89810.7,60848,96730.1,21583.8,15384,91947.2,1523.76,950.88,1187.76,67.89,123.3,45466.6,0.26156
62027.7,41773,97312.8,31914.1,23049,90742.5,3265.08,1469.58,1867.74,60.45,62.1,64892.9,0.262589
81360.3,56092,95058.6,40194,28181,93472.7,1695.96,1593.06,1973.16,71.61,68.4,70433.6,0.262589
84468.3,53431,103605,40210.8,28463,92585.3,1813.56,1666.14,2229.78,79.98,163.8,64952.5,0.263619
76810.3,57555,87461.4,30340.8,18403,108048,2928.24,1368.36,1731.24,48.36,153.9,63457.4,0.266709
91542.5,61446,97635.8,37257.4,28490,85703.7,1027.32,506.52,477.54,47.43,31.5,18180.3,0.266709
96483.1,62004,101979,94803.2,45164,137566,8657.88,7656.6,9299.22,248.31,361.8,262143,0.267738
92471.4,59467,101909,28266.8,21087,87850.1,459.48,382.2,351.96,52.08,84.6,16931.2,0.268768
73885,53143,91115.1,23922.4,17947,87355.9,2702.28,619.08,932.82,53.94,38.7,31298.9,0.274947
59013.5,48045,80497.6,23037,17824,84703.4,2103.36,813.96,991.2,15.81,63,40400.8,0.285244
67194.4,49767,88485.4,22685,17799,83526.4,1439.76,923.58,1050.84,58.59,51.3,42189.7,0.286274
57305.5,45284,82933.8,15351.8,12348,81478.6,1857.24,535.92,741.3,0.93,24.3,22673.1,0.289363
99877.4,63753,102671,35868.8,23561,99770.8,1659,1553.16,1773.24,41.85,105.3,67484.2,0.290393
41901.3,27559,99642.4,16518.6,7455,145213,277.2,201.6,252,-12.09,9.9,8042.29,0.290393
58720.2,45339,84878.1,31939.3,23483,89135.8,2212.56,1247.82,1469.58,26.97,117,48229.5,0.291423
69116.6,48963,92511.2,32577.7,21591,98884.4,1198.68,832.02,975.66,46.5,93.6,37385.3,0.291423
70452.2,48775,94662.3,25283.2,20123,82341.5,561.96,396.48,397.74,3.72,62.1,15596.1,0.292453
