"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(5478 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
313440,205299,140,123922,85549,121,1676,1082,13,0.500183,262,296,0,27,86,0,66,153,0,1013,728,0,0.00312033
470724,246070,139,317848,190558,139,6083,2696,64,-0.49927,729,553,0,-126,44,0,410,251,0,2800,1669,35,0.0104011
384566,238338,128,217830,125526,126,7721,3439,67,2.50128,315,456,0,50,69,0,236,119,0,1513,945,0,0.0260027
512131,289557,150,220152,146275,129,5148,2446,57,1.50183,570,542,0,-20,57,0,405,316,0,2850,1646,36,0.0447247
301195,188991,129,147738,97953,123,377,341,0,-0.49781,114,163,0,16,66,0,196,112,0,411,345,0,0.047845
328762,239644,123,99468,70125,120,1734,1202,17,2.5042,125,109,0,-13,40,0,21,102,0,933,726,0,0.0728076
273264,165360,139,377374,206771,138,1510,731,0,1.50475,502,378,0,164,100,0,-23,34,0,54,73,0,0.09569
440231,255198,131,187893,103827,129,11665,5439,73,0.505293,407,506,0,-67,68,0,433,229,0,2444,1423,34,0.106091
156866,56456,210,182936,76784,179,1208,1060,7,1.50548,288,235,0,-13,110,0,29,81,0,119,150,0,0.115452
366877,257846,126,259044,197889,127,3275,1627,44,2.50566,201,249,0,18,72,0,232,184,0,1123,796,0,0.115452
266872,197181,116,133043,106965,118,1983,1392,26,0.506023,254,234,0,244,252,0,17,66,0,514,463,0,0.118572
325414,220189,126,133592,93297,122,6648,3998,55,1.50621,555,388,0,-24,88,0,236,192,0,1879,1408,24,0.118572
174609,143565,105,118909,102257,107,-18,98,0,-0.493429,157,134,0,-16,53,0,-27,41,0,10,45,0,0.118572
174299,134057,119,240744,189814,116,131,138,0,0.506753,244,259,0,-43,116,0,179,137,0,845,646,0,0.120653
308548,224739,116,104581,73247,121,2987,1681,37,1.50694,256,180,0,96,126,0,187,144,0,583,411,0,0.122733
168704,116603,115,145875,96155,118,488,218,0,2.50712,67,109,0,-99,61,0,185,150,0,317,244,0,0.132094
347436,219060,137,150284,85414,130,1418,601,0,1.50767,155,212,0,19,104,0,206,112,0,486,331,0,0.139375
158010,124377,108,117498,98347,110,2617,1921,33,0.508213,222,191,0,-21,89,0,37,88,0,824,674,0,0.145615
413173,249716,143,271447,179567,135,2464,1231,33,2.50858,265,266,0,44,78,0,240,157,0,1264,825,0,0.148736
540905,320529,144,274795,154079,136,0,56,0,-0.491239,187,153,0,214,101,0,74,92,0,630,428,0,0.148736
394867,246643,128,234646,140227,132,7873,4005,66,0.508943,624,487,0,-48,58,0,265,219,0,2255,1441,28,0.154976
246441,181470,117,95849,66298,115,1494,887,0,0.509673,237,286,0,68,83,0,108,92,0,1061,672,0,0.177859
155266,128858,114,168940,143754,110,72,80,0,1.51132,58,150,0,-63,68,0,14,54,0,-86,31,0,0.216343
400759,243220,149,199757,113084,139,4160,2168,50,-0.488319,169,274,0,29,60,0,296,142,0,1534,936,0,0.220503
