"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
127501,88528,94387,44777.9,34132,85976.9,77.28,88.2,67.2,96.72,135,92.63,0.222591
95685.1,56849,110307,113010,77785,95214.2,553.56,343.14,404.04,31.62,308.7,529.82,0.225682
103844,70080,97111,79487.5,45948,113374,151.2,144.06,-29.4,68.82,44.1,102.07,0.227743
44564.1,35426,82440.9,19684.6,15842,81432.1,63.84,37.38,27.3,26.04,69.3,71.39,0.228774
74889.5,53372,91957.6,31246.3,21509,95204.7,101.64,36.54,-12.18,28.83,56.7,112.1,0.228774
83197.1,61831,88182.4,20238.1,14747,89938.7,54.6,47.46,66.78,78.12,78.3,57.23,0.228774
49780.5,38323,85129.4,14838.6,11795,82447,3.36,24.78,-21.84,42.78,19.8,43.66,0.242171
51536.1,31618,106821,29026.2,20906,90991.1,106.68,81.48,84.84,36.27,53.1,110.92,0.244232
69332.2,43136,105336,36831.5,13488,178958,86.52,123.9,65.52,49.29,71.1,67.26,0.246293
67340.7,39987,110367,44993.8,26071,113103,141.96,76.86,129.36,67.89,73.8,207.68,0.246293
70302.4,47476,97045.6,25210.1,19432,85023,25.2,34.86,21.42,30.69,23.4,41.89,0.247323
68698.7,51614,87229,21205.8,16999,81754.4,-12.6,2.1,-5.88,47.43,15.3,119.18,0.247323
59994.9,36579,107489,95148.5,64931,96035,259.56,252,68.88,25.11,95.4,219.48,0.249384
58968,49590,77929.6,20137.3,17354,76047,27.72,38.64,63.42,79.05,54,43.07,0.249384
37195.9,22466,108505,42863.5,19061,147374,102.48,110.46,62.58,0.93,97.2,67.85,0.251445
79886.8,55234,94786.9,28870,22978,82340.6,26.88,65.52,17.22,17.67,14.4,76.7,0.252476
43544.2,30003,95114.2,23888.8,18227,85893.1,64.68,26.88,16.8,29.76,14.4,136.88,0.252476
40922.7,29773,90078.6,26726.3,20032,87436.8,42.84,32.34,20.16,0.93,50.4,274.94,0.253506
97337.8,72784,87644.7,38372.9,27416,91727.6,81.48,64.26,-10.5,21.39,45,158.71,0.253506
110925,69611,104431,29374,21318,90301.7,35.28,45.78,66.78,94.86,54,84.96,0.253506
55835.5,43578,83969.8,20207,16542,80056.1,27.72,20.58,43.26,12.09,34.2,63.72,0.253506
82407.5,54506,99083.7,23365.4,16903,90592.1,57.12,75.6,79.38,66.96,40.5,54.28,0.254537
115657,79438,95416.4,31749.5,23438,88776.1,47.04,90.72,71.4,82.77,16.2,134.52,0.254537
65072.7,45766,93182.8,19611.5,15142,84880.3,47.04,15.12,31.92,53.94,61.2,57.82,0.256598
63387.8,47786,86933.1,19498.9,14970,85362.8,12.6,52.08,16.38,51.15,27,64.9,0.256598
109054,68160,104856,31667.2,22808,90991.7,13.44,49.98,25.62,85.56,15.3,120.95,0.257628
90897.8,61148,97420.7,35878.9,25157,93467.5,-7.56,51.24,88.2,65.1,-5.4,108.56,0.257628
95006.8,58472,106485,32437.4,22981,92503.4,25.2,30.66,25.2,66.03,0.9,76.7,0.258659
74907.7,45926,106893,40572.8,28446,93474.7,32.76,41.58,54.18,53.94,36,102.07,0.258659
63328.3,49587,83697,15503.9,11927,85190.1,27.72,36.96,20.16,77.19,26.1,60.77,0.259689
49911.4,33941,96372.9,24738,19561,82880.7,52.92,55.44,-12.6,53.01,35.1,57.23,0.259689
86537.5,56652,100108,23947.6,17537,89492.3,70.56,28.56,37.38,56.73,67.5,82.6,0.26072
60938.5,39832,100263,25035.4,18008,91110.5,52.92,77.7,-12.6,96.72,38.7,96.17,0.262781
68915,52420,86158.2,17404,13832,82459.9,-17.64,26.88,11.76,23.25,-12.6,31.27,0.268964
61322.8,47688,84273.9,20829.5,15905,85827.1,9.24,46.62,-60.06,24.18,9,61.95,0.273086
76437.9,44526,112506,24035.8,16807,93723.3,-3.36,38.64,-52.08,71.61,56.7,89.09,0.273086
55897.1,48833,75016.3,7024.08,6121,75205,-21,-8.82,-3.78,45.57,0.9,6.49,0.276178
65793,49671,86807.4,27646.9,22831,79360,11.76,36.12,1.68,62.31,15.3,78.47,0.278239
93576.7,64917,94469,31348,23101,88932.1,24.36,30.66,-47.46,27.9,33.3,56.05,0.279269
86793,62770,90617.6,18196.9,13822,86279.4,7.56,12.6,-12.6,15.81,12.6,46.02,0.279269
65858.8,43111,100116,20041.6,15467,84919.1,12.6,16.8,-76.02,65.1,55.8,42.48,0.28133
63163.1,35895,115321,51969.1,32055,106250,162.12,94.08,142.8,58.59,74.7,173.46,0.287513
90141.1,62913,93899.3,19620.7,14157,90828.8,66.36,61.32,68.88,47.43,56.7,85.55,0.288544
61826.8,46670,86819.8,18144.8,12766,93149,37.8,46.2,-15.12,33.48,42.3,53.1,0.288544
70515.9,51847,89134,28997.6,19347,98226.6,31.92,61.32,10.5,61.38,14.4,97.35,0.289574
51224.6,34481,97359.6,45450.7,30617,97287.7,20.16,109.62,19.74,57.66,34.2,125.67,0.289574
90587,60738,97742.9,30191.3,22370,88449.5,44.52,93.24,29.82,48.36,38.7,115.64,0.290605
60823,36209,110086,19875.2,13433,96966,57.12,55.02,72.24,50.22,110.7,71.98,0.291635
82870.9,60041,90455.3,19775.3,15458,83839.6,26.88,53.34,5.46,65.1,26.1,65.49,0.293696
77404.6,57218,88657.2,22307.9,17542,83341.1,24.36,72.24,39.48,66.03,24.3,73.16,0.293696
67072.6,42646,103073,24709.4,16262,99579.3,38.64,60.06,62.16,93.93,93.6,114.46,0.294727
66028.9,46596,92867.8,25252.9,17304,95641.2,74.76,55.02,-15.54,45.57,80.1,110.92,0.294727
