"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
47653.2,38589,80929.8,15409,12592,80197.1,70.56,31.08,28.14,64.17,3111.3,76.7,0.216093
68799.5,51276,87932.8,16521.1,12609,85869.5,41.16,34.86,22.26,67.89,3407.4,68.44,0.216093
149579,106166,92334.6,47623,34550,90333.4,75.6,122.22,44.1,142.29,7833.6,143.37,0.216093
82098.1,50594,106344,50557.9,29542,112158,123.48,113.82,128.94,227.85,13374.9,160.48,0.217122
78225.7,59930,85543.1,24144.1,18659,84801.4,37.8,57.12,31.5,67.89,3136.5,66.67,0.217122
107017,66625,105267,31678.9,23693,87625.4,80.64,79.38,57.54,161.82,6217.2,134.52,0.218151
75187,44407,110961,32364.4,23559,90030.6,94.92,65.94,81.9,130.2,8599.5,84.37,0.21918
93019.5,57312,106367,29349.6,19692,97677,88.2,68.88,25.62,123.69,7981.2,73.16,0.21918
72300.2,44938,105440,29232.8,21571,88813.9,67.2,32.34,28.98,93.93,4648.5,100.3,0.221238
76246.8,57521,86871.1,21738.4,17049,83561.8,15.96,51.66,36.96,75.33,3141.9,36.58,0.223296
96450.2,61146,103375,19562.8,12874,99585.6,57.96,55.44,-56.7,60.45,3793.5,0,0.225354
65391.2,49634,86341.6,30129.1,23466,84144.8,88.2,80.22,83.58,80.91,2474.1,57.23,0.226383
65473.8,45419,94473.5,30206.4,22422,88288.6,49.56,35.28,21.84,115.32,7656.3,75.52,0.226383
94435.6,63841,96942.9,24254.2,18475,86036.3,44.52,51.66,59.64,119.97,4000.5,100.89,0.227412
58428.3,42379,90355.1,15419,11862,85188.2,13.44,44.1,25.2,70.68,1909.8,41.3,0.228441
43759.1,27817,103095,28816.2,21188,89130.6,38.64,50.82,-3.36,99.51,3898.8,148.09,0.228441
48337.1,34397,92095.8,39142.3,26448,96991.5,47.88,60.9,132.3,13.02,431.1,79.65,0.232557
58488.5,43395,88330.5,17540,12307,93402.5,32.76,50.82,-31.5,91.14,3298.5,31.27,0.233586
83113.8,64118,84951.9,17230.9,14346,78715,15.96,3.78,-9.66,59.52,4070.7,53.1,0.234615
55205.5,40119,90180.4,14370.7,11619,81056.8,40.32,33.18,7.56,50.22,3709.8,61.36,0.236673
72314.2,51485,92049.8,22716.1,18781,79267.5,62.16,19.74,61.32,59.52,4589.1,43.07,0.236673
37169.3,19585,124377,51177.8,22773,147279,121.8,127.26,97.86,28.83,1638.9,110.33,0.23976
97640.9,64294,99527.1,20283.5,13794,96367.9,72.24,26.46,-0.84,106.95,4162.5,92.04,0.242847
45868.9,34440,87284.1,17790.4,14753,79028.6,0,49.14,-3.78,44.64,2731.5,21.83,0.243876
80053.4,61057,85925.9,27945.1,22485,81450.4,22.68,48.3,39.48,71.61,2703.6,77.88,0.244905
83485.5,55578,98443.7,35374.9,18755,123611,68.04,73.5,66.36,79.98,3130.2,116.23,0.244905
109596,75079,95665.2,41732.9,30551,89522.6,103.32,68.46,-10.08,115.32,4813.2,208.86,0.246963
100972,62172,106436,25818.2,18853,89748.3,55.44,48.72,35.28,61.38,5137.2,90.27,0.246963
80962.7,55130,96244.7,27147.1,21166,84055.3,54.6,52.92,55.02,80.91,6711.3,129.8,0.249021
82714.8,55038,98491.9,20183.5,15555,85036.8,17.64,47.04,-52.08,66.96,3618,21.24,0.255195
90672.4,69966,84931.4,14605.1,11386,84064.5,47.88,41.58,14.7,57.66,3077.1,84.37,0.256224
57101.8,42535,87979.9,10367.3,8327,81593.6,100.8,15.54,43.68,24.18,2570.4,8.26,0.257253
69165.6,49944,90758.4,23582.2,19227,80380.7,42,35.28,33.18,66.03,3914.1,14.75,0.257253
73723.3,50147,96347.3,22321.3,17211,84995.1,68.88,62.16,9.24,119.04,8508.6,87.32,0.259311
82427.1,59446,90871.4,20571.6,15942,84567.8,54.6,21.84,8.82,59.52,1110.6,94.4,0.259311
86593.5,60859,93248.2,48880.4,33638,95232.4,31.92,97.86,64.68,152.52,7222.5,129.21,0.259311
76674.5,52883,95020,24822.8,18880,86164.7,34.44,49.14,0,69.75,2954.7,59.59,0.261369
98311.5,70011,92027.6,65233.6,44790,95448.7,102.48,158.34,60.06,149.73,9338.4,192.93,0.261369
109700,70704,101681,39989,28876,90757.8,41.16,104.58,31.92,128.34,5805.9,57.23,0.261369
54701.5,42943,83480.8,20951.3,14002,98061.9,36.96,4.62,-25.2,25.11,4312.8,117.41,0.261369
98942.2,69263,93618.2,20569.9,15362,87753.6,51.24,47.46,43.26,117.18,4413.6,0.59,0.262398
101752,75176,88704.1,48482.3,33489,94877,107.52,146.58,89.88,100.44,6866.1,170.51,0.264456
83796.3,65635,83669.9,20570.8,15739,85655.1,58.8,19.32,34.86,117.18,4540.5,50.15,0.264456
73920,56568,85638.9,20601,16151,83592.8,15.96,15.54,49.56,64.17,8181,63.13,0.266514
90090.7,72150,81832.1,31575.6,23742,87159.4,57.96,56.7,27.72,105.09,6678,132.16,0.266514
93320.5,55132,110931,59430,22536,172826,152.04,120.12,-26.04,75.33,2183.4,201.78,0.267543
108445,67967,104566,35621.9,25218,92573.4,78.12,84.42,35.28,86.49,3933,99.12,0.269601
39520.6,27164,95347.6,36303.1,23464,101396,59.64,74.76,83.58,9.3,644.4,73.16,0.269601
53309.9,35694,97879.7,30827.2,23770,84993.2,21,94.5,3.36,97.65,5545.8,108.56,0.27063
78524.6,54930,93686.3,19411.6,15442,82382.8,26.88,21.42,-29.4,105.09,5751.9,72.57,0.271659
85424.5,55737,100443,30850.7,22306,90640.6,73.08,43.68,48.72,79.98,4681.8,53.1,0.272689
64453.9,48627,86866.4,13834.8,11127,81484.5,109.2,10.08,7.98,99.51,3921.3,70.8,0.272689
79744,56756,92080.2,22149.1,15066,96347,74.76,54.18,19.74,124.62,4255.2,129.21,0.274747
70361.2,50974,90461.6,27562.9,21786,82914,68.88,16.38,1.26,57.66,886.5,51.92,0.274747
81024.3,58356,90993.4,30542.4,23768,84215.2,64.68,64.68,64.26,85.56,4378.5,152.81,0.275776
74634,55731,87764.7,14647.9,11931,80459.8,34.44,12.6,-0.84,39.99,4524.3,59,0.275776
50871.8,34138,97660.5,33214.4,22275,97721.3,35.28,68.46,21.84,50.22,2871.9,89.68,0.275776
60011.7,41728,94251.5,30125.8,21516,91760.6,96.6,59.64,-2.94,53.01,6768.9,122.13,0.277834
59485.3,35562,109623,22043.3,14990,96372.8,82.32,75.18,111.72,73.47,5256,63.13,0.277834
60486.3,43491,91146,34612.2,25775,88005.6,93.24,73.08,26.46,42.78,4248.9,166.97,0.278863
85649.2,59001,95135.8,26974.1,20420,86570.7,46.2,36.96,13.44,44.64,411.3,98.53,0.280921
61209.4,47255,84888.8,15241,12123,82391.4,21.84,52.92,1.26,45.57,2389.5,45.43,0.280921
73966.9,50317,96339.1,36451,27584,86602.7,84,96.6,78.54,147.87,12502.8,163.43,0.28195
53484.2,37771,92799.8,15697.1,12678,81142.4,33.6,64.26,-13.02,66.96,2799,41.89,0.285037
74171.3,55553,87500,16473.2,13397,80584.5,-0.84,31.92,20.16,55.8,3015.9,46.61,0.286066
