recombined_construct,target,lane,adj_band_vol_int,band_vol_int,adj_lane_vol_int,lane_vol_int,bkgd_vol_int,norm_factor
G758A,actin,1,53486069,61621378,55921684,75816377,19894693,N/A
G755A,actin,2,35572329,45576225,39195795,66414087,27218292,N/A
G875A,actin,3,40060097,54803595,42031143,80102099,38070956,N/A
G822A,actin,4,42749433,55171917,46363722,78125250,31761528,N/A
G821A,actin,5,45595476,56545155,48933834,76773954,27840120,N/A
G825F,actin,6,43295223,53247162,46400430,71417139,25016709,N/A
G757A,actin,7,45069903,54906957,48188358,71883648,23695290,N/A
G876C,actin,8,40680882,49938750,43862679,67967001,24104322,N/A
G820E,actin,9,57261136,68512024,62938108,90052856,27114748,N/A
G823B,actin,10,43446954,52342296,48333189,72233064,23899875,N/A
G900A,actin,11,33675406,42107018,36422462,58759682,22337220,N/A
