date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,comment
200817,1,Sample1,Two_color,G542Ac3,G752A,24-well,VSVG,G70C_20ng,100,200000,144935,NA,50.555766,25.381791,23.135889,24.367768,NA,NA,
200817,2,Sample2,Two_color,G542Ac3,G752A,24-well,SARS1,G70C_20ng,900,200000,137834,NA,51.203622,4.402346,22.437135,45.353424,NA,NA,
200817,3,Sample3,Two_color,G542Ac3,G752A,24-well,G742A,G70C_20ng,1600,200000,146694,NA,49.031999,1.187315,24.707895,14.109532,NA,NA,
200817,4,Sample4,Two_color,G542Ac3,G752A,24-well,G740D,G70C_20ng,1600,200000,150970,NA,50.819368,1.303407,22.680665,19.34815,NA,NA,
200817,5,Sample5,Two_color,G542Ac3,G752A,24-well,G764B,G70C_20ng,1600,200000,132093,NA,48.737632,6.85006,25.419969,52.260409,NA,NA,
200817,6,Sample6,Two_color,G542Ac3,G752A,24-well,G776G,G70C_20ng,1600,200000,136400,NA,51.173754,0.024355,22.269062,0.144856,NA,NA,
200817,7,Sample7,Two_color,G542Ac3,G752A,24-well,G777A,G70C_20ng,1600,200000,124758,NA,50.104202,0.006399,23.313134,0.003438,NA,NA,
200817,8,Sample8,Two_color,G542Ac3,G752A,24-well,G778B,G70C_20ng,1600,200000,137409,NA,50.400629,0.002888,23.311428,0.021853,NA,NA,
200817,9,Sample9,Two_color,G542Ac3,G752A,24-well,G798H,G70C_20ng,1600,200000,142853,NA,49.555137,0,23.390478,0,NA,NA,
200817,10,Sample10,Two_color,G542Ac3,G752A,24-well,G799H,G70C_20ng,1600,200000,140743,NA,50.523294,0,22.384062,0,NA,NA,
200817,11,Sample11,Two_color,G542Ac3,G752A,24-well,G807B,G70C_20ng,1600,200000,144568,NA,51.036191,0.010843,22.298849,0,NA,NA,
200817,12,Sample12,Two_color,G542Ac3,G752A,24-well,Marb,G70C_20ng,100,200000,137665,NA,50.391893,2.49236,23.338539,2.77942,NA,NA,
200818,13,Sample13,Two_color,G542Ac3,G752A,24-well,VSVG,G70C_20ng,50,200000,84797,NA,55.363987,13.48755,13.391983,15.850652,NA,NA,
200818,14,Sample14,Two_color,G542Ac3,G752A,24-well,SARS1,G70C_20ng,800,200000,93550,NA,55.073223,1.618757,11.65473,65.688343,NA,NA,
200818,15,Sample15,Two_color,G542Ac3,G752A,24-well,G742A,G70C_20ng,1600,200000,99729,NA,56.327648,0.185136,11.209377,21.048394,NA,NA,
200818,16,Sample16,Two_color,G542Ac3,G752A,24-well,G740D,G70C_20ng,1600,200000,91492,NA,56.562322,0.202899,10.7922,27.091351,NA,NA,
200818,17,Sample17,Two_color,G542Ac3,G752A,24-well,G764B,G70C_20ng,1600,200000,84542,NA,55.418609,1.79288,10.496558,60.953347,NA,NA,
200818,18,Sample18,Two_color,G542Ac3,G752A,24-well,G776G,G70C_20ng,1600,200000,94838,NA,55.590586,0.011381,11.151648,0.141831,NA,NA,
200818,19,Sample19,Two_color,G542Ac3,G752A,24-well,G777A,G70C_20ng,1600,200000,81080,NA,55.892945,0.01324,10.585841,0.011651,NA,NA,
200818,20,Sample20,Two_color,G542Ac3,G752A,24-well,G778B,G70C_20ng,1600,200000,82949,NA,55.14955,0.013116,11.068247,0.098029,NA,NA,
200818,21,Sample21,Two_color,G542Ac3,G752A,24-well,G798H,G70C_20ng,1600,200000,76567,NA,53.916178,0.007267,11.875873,0.010997,NA,NA,
200818,22,Sample22,Two_color,G542Ac3,G752A,24-well,G799H,G70C_20ng,1600,200000,81654,NA,55.392265,0.008844,10.555515,0,NA,NA,
200818,23,Sample23,Two_color,G542Ac3,G752A,24-well,G807B,G70C_20ng,1600,200000,93356,NA,55.406187,0.003867,11.537555,0.018568,NA,NA,
200818,24,Sample24,Two_color,G542Ac3,G752A,24-well,Marb,G70C_20ng,800,200000,94035,NA,53.184453,3.593138,9.982453,3.100032,NA,NA,
