date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,pct_grn_gvn_nir,comment
200702,1,Sample,Constructs,G542Ac3,none,6-well,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200702,2,Sample1,Constructs,G542Ac3,G627B,6-well,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200702,3,Sample2,Constructs,G542Ac3,G698C,6-well,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200702,4,Sample3,Constructs,G542Ac3,G714C,6-well,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200702,5,Sample4,Constructs,G542Ac3,G719B,6-well,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200702,6,Sample5,Envelopes,G542Ac3,G627B,24-well,SARS1,G70C,1400,NA,106359,0.895082,69.999718,1.051698,NA,NA,NA,NA,NA,NA
200702,7,Sample6,Envelopes,G542Ac3,G627B,24-well,SARS2,G70C,1400,NA,124147,0.103104,70.204677,0.112441,NA,NA,NA,NA,NA,NA
200702,8,Sample7,Envelopes,G542Ac3,G627B,24-well,WIV1,G70C,1400,NA,114743,0.054905,69.431686,0.05774,NA,NA,NA,NA,NA,NA
200702,9,Sample8,Envelopes,G542Ac3,G627B,24-well,G764B,G70C,1400,NA,99904,0.855822,69.316544,1.00361,NA,NA,NA,NA,NA,NA
200702,10,Sample9,Envelopes,G542Ac3,G627B,24-well,G769B,G70C,1400,NA,112364,0.097896,70.161262,0.10655,NA,NA,NA,NA,NA,NA
200702,11,Sample10,Envelopes,G542Ac3,G627B,24-well,G769C,G70C,1400,NA,109713,0.093881,69.491309,0.118047,NA,NA,NA,NA,NA,NA
200702,12,Sample11,Kozaks,G542Ac3,G758A,48-well,SARS2,G70C,375,NA,109952,0.083673,89.431752,0.024407,NA,NA,NA,NA,NA,NA
200702,13,Sample12,Kozaks,G542Ac3,G698C,48-well,SARS2,G70C,375,NA,61185,1.278091,43.623437,1.513619,NA,NA,NA,NA,NA,NA
200702,14,Sample13,Kozaks,G542Ac3,G734A,48-well,SARS2,G70C,375,NA,102100,0.928501,48.190989,1.022295,NA,NA,NA,NA,NA,NA
200702,15,Sample14,Kozaks,G542Ac3,G735A,48-well,SARS2,G70C,375,NA,57199,1.421354,42.084652,1.603523,NA,NA,NA,NA,NA,NA
200702,16,Sample15,Kozaks,G542Ac3,G755A,48-well,SARS2,G70C,375,NA,95285,0.146928,18.178097,0.184747,NA,NA,NA,NA,NA,NA
200702,17,Sample16,Kozaks,G542Ac3,G756A,48-well,SARS2,G70C,375,NA,59627,0.109011,12.628507,0.053121,NA,NA,NA,NA,NA,NA
200702,18,Sample17,Kozaks,G542Ac3,G757A,48-well,SARS2,G70C,375,NA,93548,0.076966,18.248386,0.08201,NA,NA,NA,NA,NA,NA
200702,19,Sample18,Kozaks,G542Ac3,G758A,48-well,SARS1,G70C,100,NA,123211,0.037334,81.226514,0.029976,NA,NA,NA,NA,NA,NA
200702,20,Sample19,Kozaks,G542Ac3,G698C,48-well,SARS1,G70C,100,NA,121594,4.140007,21.635936,7.830318,NA,NA,NA,NA,NA,NA
200702,21,Sample20,Kozaks,G542Ac3,G734A,48-well,SARS1,G70C,100,NA,133167,2.531408,26.358632,4.242044,NA,NA,NA,NA,NA,NA
200702,22,Sample21,Kozaks,G542Ac3,G735A,48-well,SARS1,G70C,100,NA,110085,5.156924,21.794068,9.907469,NA,NA,NA,NA,NA,NA
200702,23,Sample22,Kozaks,G542Ac3,G755A,48-well,SARS1,G70C,100,NA,129468,0.44876,12.286434,1.030993,NA,NA,NA,NA,NA,NA
200702,24,Sample23,Kozaks,G542Ac3,G756A,48-well,SARS1,G70C,100,NA,117507,0.158288,4.978427,0.547009,NA,NA,NA,NA,NA,NA
200702,25,Sample24,Kozaks,G542Ac3,G757A,48-well,SARS1,G70C,100,NA,137252,0.123131,12.728412,0.25186,NA,NA,NA,NA,NA,NA
200702,26,Sample25,Kozaks,G542Ac3,G758A,48-well,VSVG,G70C,5,NA,136021,6.151256,70.455297,5.181877,NA,NA,NA,NA,NA,NA
200702,27,Sample26,Kozaks,G542Ac3,G698C,48-well,VSVG,G70C,5,NA,152259,5.679139,20.385002,5.715574,NA,NA,NA,NA,NA,NA
200702,28,Sample27,Kozaks,G542Ac3,G734A,48-well,VSVG,G70C,5,NA,164347,5.959342,22.20363,5.721959,NA,NA,NA,NA,NA,NA
200702,29,Sample28,Kozaks,G542Ac3,G735A,48-well,VSVG,G70C,5,NA,147291,5.684665,21.686322,5.61643,NA,NA,NA,NA,NA,NA
200702,30,Sample29,Kozaks,G542Ac3,G755A,48-well,VSVG,G70C,5,NA,143604,6.070862,11.609704,6.297985,NA,NA,NA,NA,NA,NA
200702,31,Sample30,Kozaks,G542Ac3,G756A,48-well,VSVG,G70C,5,NA,132041,5.699745,3.639021,6.722164,NA,NA,NA,NA,NA,NA
200702,32,Sample31,Kozaks,G542Ac3,G757A,48-well,VSVG,G70C,5,NA,144809,5.454081,9.991782,5.694934,NA,NA,NA,NA,NA,NA
