date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,pct_grn_gvn_nir,comment
200706,1,Sample,Kozaks,HEK_G542Ac3,G758A,48-well,SARS2,G70C,200,NA,85114,0.027023,80.422727,0.021913,NA,NA,NA,NA,NA,NA
200706,2,Sample1,Kozaks,HEK_G542Ac3,G698C,48-well,SARS2,G70C,200,NA,89012,0.085382,6.926032,0.194647,NA,NA,NA,NA,NA,NA
200706,3,Sample2,Kozaks,HEK_G542Ac3,G734A,48-well,SARS2,G70C,200,NA,92665,0.123024,10.95883,0.246184,NA,NA,NA,NA,NA,NA
200706,4,Sample3,Kozaks,HEK_G542Ac3,G735A,48-well,SARS2,G70C,200,NA,88215,0.103157,5.33356,0.31881,NA,NA,NA,NA,NA,NA
200706,5,Sample4,Kozaks,HEK_G542Ac3,G755A,48-well,SARS2,G70C,200,NA,101791,0.041261,4.55443,0.129422,NA,NA,NA,NA,NA,NA
200706,6,Sample5,Kozaks,HEK_G542Ac3,G756A,48-well,SARS2,G70C,200,NA,75863,0.0145,1.489527,0.088496,NA,NA,NA,NA,NA,NA
200706,7,Sample6,Kozaks,HEK_G542Ac3,G757A,48-well,SARS2,G70C,200,NA,89858,0.016693,3.820472,0.029129,NA,NA,NA,NA,NA,NA
200706,8,Sample7,Kozaks,HEK_G542Ac3,G758A,48-well,SARS1,G70C,100,NA,90790,0.037449,76.636193,0.034494,NA,NA,NA,NA,NA,NA
200706,9,Sample8,Kozaks,HEK_G542Ac3,G698C,48-well,SARS1,G70C,100,NA,105679,1.181881,6.678716,1.898555,NA,NA,NA,NA,NA,NA
200706,10,Sample9,Kozaks,HEK_G542Ac3,G734A,48-well,SARS1,G70C,100,NA,113679,0.890226,11.40756,1.156693,NA,NA,NA,NA,NA,NA
200706,11,Sample10,Kozaks,HEK_G542Ac3,G735A,48-well,SARS1,G70C,100,NA,101993,1.91974,5.626857,3.972818,NA,NA,NA,NA,NA,NA
200706,12,Sample11,Kozaks,HEK_G542Ac3,G755A,48-well,SARS1,G70C,100,NA,87759,0.554929,5.065008,1.034871,NA,NA,NA,NA,NA,NA
200706,13,Sample12,Kozaks,HEK_G542Ac3,G756A,48-well,SARS1,G70C,100,NA,90706,0.255771,1.427689,1.467181,NA,NA,NA,NA,NA,NA
200706,14,Sample13,Kozaks,HEK_G542Ac3,G757A,48-well,SARS1,G70C,100,NA,92686,0.135943,3.688799,0.467973,NA,NA,NA,NA,NA,NA
200706,15,Sample14,Kozaks,HEK_G542Ac3,G758A,48-well,VSVG,G70C,5,NA,83885,5.881862,77.702807,6.245685,NA,NA,NA,NA,NA,NA
200706,16,Sample15,Kozaks,HEK_G542Ac3,G698C,48-well,VSVG,G70C,5,NA,120316,5.996709,6.711493,6.662539,NA,NA,NA,NA,NA,NA
200706,17,Sample16,Kozaks,HEK_G542Ac3,G734A,48-well,VSVG,G70C,5,NA,127854,5.813662,11.090775,6.593794,NA,NA,NA,NA,NA,NA
200706,18,Sample17,Kozaks,HEK_G542Ac3,G735A,48-well,VSVG,G70C,5,NA,122598,5.907927,5.99031,7.12146,NA,NA,NA,NA,NA,NA
200706,19,Sample18,Kozaks,HEK_G542Ac3,G755A,48-well,VSVG,G70C,5,NA,92930,5.856021,4.831594,7.438753,NA,NA,NA,NA,NA,NA
200706,20,Sample19,Kozaks,HEK_G542Ac3,G756A,48-well,VSVG,G70C,5,NA,95754,5.987217,1.520563,7.760989,NA,NA,NA,NA,NA,NA
200706,21,Sample20,Kozaks,HEK_G542Ac3,G757A,48-well,VSVG,G70C,5,NA,105116,5.898246,3.269721,6.080884,NA,NA,NA,NA,NA,NA
200706,22,Sample21,Envelopes,HEK_G542Ac3,G627B,24-well,SARS1,G70C,1400,NA,116608,69.632444,61.467481,79.958424,NA,NA,NA,NA,NA,NA
200706,23,Sample22,Envelopes,HEK_G542Ac3,G627B,24-well,SARS2,G70C,1400,NA,119845,1.87075,62.428971,2.258815,NA,NA,NA,NA,NA,NA
200706,24,Sample23,Envelopes,HEK_G542Ac3,G627B,24-well,WIV1,G70C,1400,NA,115693,3.667465,62.765249,4.362735,NA,NA,NA,NA,NA,NA
200706,25,Sample24,Envelopes,HEK_G542Ac3,G627B,24-well,G764B,G70C,1400,NA,89003,70.669528,60.604699,82.523174,NA,NA,NA,NA,NA,NA
200706,26,Sample25,Envelopes,HEK_G542Ac3,G627B,24-well,G769B,G70C,1400,NA,103299,25.644972,63.986099,30.42952,NA,NA,NA,NA,NA,NA
200706,27,Sample26,Envelopes,HEK_G542Ac3,G627B,24-well,G769C,G70C,1400,NA,105558,28.177874,63.126433,33.329331,NA,NA,NA,NA,NA,NA
200706,28,Sample27,Reverse_envs,HEK_G542Ac3,transient_none,6-well,none,G70C,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,29,Sample28,Reverse_envs,HEK_G542Ac3,transient_none,6-well,ACE2,G70C,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,30,Sample29,Reverse_envs,HEK_G542Ac3,transient_SARS1,6-well,none,G70C,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,31,Sample30,Reverse_envs,HEK_G542Ac3,transient_SARS1,6-well,ACE2,G70C,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,32,Sample31,T7pol_UnaG,HEK_G542Ac3,none,6-well,transient_G521B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,33,Sample32,T7pol_UnaG,HEK_G542Ac3,G743J,6-well,transient_G521B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,34,Sample33,T7pol_UnaG,HEK_G542Ac3,none,6-well,transient_G722C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,35,Sample34,T7pol_UnaG,HEK_G542Ac3,G743J,6-well,transient_G722C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,36,Sample35,G718A,HEK_G542Ac3,G718A,6-well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200706,37,Sample36,G747A,HEK_G542Ac3,G747A,6-well,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
