date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,pct_grn_gvn_nir,comment
200629,1,Sample,Envelopes,G542Ac3,G627B,24-well,SARS1,G699A,1400,NA,179107,18.515189,66.966115,22.40685,NA,NA,NA,NA,NA,NA
200629,2,Sample1,Envelopes,G542Ac3,G627B,24-well,SARS2,G699A,1400,NA,162421,0.564582,65.771667,0.705814,NA,NA,NA,NA,NA,NA
200629,4,Sample3,Envelopes,G542Ac3,G627B,24-well,G764B,G699A,1400,NA,117683,18.945812,69.390651,23.086908,NA,NA,NA,NA,NA,NA
200629,5,Sample4,Envelopes,G542Ac3,G627B,24-well,WIV1,G699A,1400,NA,142712,0.322327,68.53313,0.389551,NA,NA,NA,NA,NA,NA
200629,6,Sample5,Envelopes,G542Ac3,G627B,24-well,G746B,G699A,1400,NA,125822,8.814039,67.229896,10.884265,NA,NA,NA,NA,NA,NA
200629,7,Sample6,Kozaks,G542Ac3,None,48-well,None,None,0,NA,129947,1.54E-03,0.037708,2.040816,NA,NA,NA,NA,NA,NA
200629,8,Sample7,Kozaks,G542Ac3,G758A,48-well,None,None,0,NA,67196,1.49E-03,68.785344,2.16E-03,NA,NA,NA,NA,NA,NA
200629,9,Sample8,Kozaks,G542Ac3,G698C,48-well,None,None,0,NA,57222,0.017476,34.977806,0.029978,NA,NA,NA,NA,NA,NA
200629,10,Sample9,Kozaks,G542Ac3,G734A,48-well,None,None,0,NA,81199,4.93E-03,41.451249,0,NA,NA,NA,NA,NA,NA
200629,11,Sample10,Kozaks,G542Ac3,G735A,48-well,None,None,0,NA,51661,5.81E-03,33.985018,5.70E-03,NA,NA,NA,NA,NA,NA
200629,12,Sample11,Kozaks,G542Ac3,G755A,48-well,None,None,0,NA,65716,3.04E-03,19.56449,0,NA,NA,NA,NA,NA,NA
200629,13,Sample12,Kozaks,G542Ac3,G756A,48-well,None,None,0,NA,66937,8.96E-03,8.490073,0,NA,NA,NA,NA,NA,NA
200629,14,Sample13,Kozaks,G542Ac3,G757A,48-well,None,None,0,NA,52150,0.019175,21.463087,0.026802,NA,NA,NA,NA,NA,NA
200629,15,Sample14,Kozaks,G542Ac3,None,48-well,SARS2,G699A,300,NA,70425,0.019879,0.051118,2.777778,NA,NA,NA,NA,NA,NA
200629,16,Sample15,Kozaks,G542Ac3,G758A,48-well,SARS2,G699A,300,NA,27155,0.025778,92.340269,0.011964,NA,NA,NA,NA,NA,NA
200629,17,Sample16,Kozaks,G542Ac3,G698C,48-well,SARS2,G699A,300,NA,26280,0.715373,42.416286,1.067552,NA,NA,NA,NA,NA,NA
