date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir
200707,1,Sample,Kozaks,HEK_G542Ac3,G758A,48-well,SARS2,G70C,750,NA,117675,0.056087,93.332484,0.03551,NA,NA
200707,2,Sample1,Kozaks,HEK_G542Ac3,G698C,48-well,SARS2,G70C,750,NA,171088,0.156645,74.054288,0.156277,NA,NA
200707,3,Sample2,Kozaks,HEK_G542Ac3,G734A,48-well,SARS2,G70C,750,NA,178028,0.124138,76.971038,0.115303,NA,NA
200707,4,Sample3,Kozaks,HEK_G542Ac3,G735A,48-well,SARS2,G70C,750,NA,132342,0.163213,71.282737,0.156884,NA,NA
200707,5,Sample4,Kozaks,HEK_G542Ac3,G755A,48-well,SARS2,G70C,750,NA,133134,0.096895,60.458636,0.090693,NA,NA
200707,6,Sample5,Kozaks,HEK_G542Ac3,G756A,48-well,SARS2,G70C,750,NA,115323,0.066769,51.705211,0.035218,NA,NA
200707,7,Sample6,Kozaks,HEK_G542Ac3,G757A,48-well,SARS2,G70C,750,NA,144487,0.071979,59.812301,0.052071,NA,NA
200707,8,Sample7,Kozaks,HEK_G542Ac3,G758A,48-well,SARS1,G70C,500,NA,107817,0.073272,92.589295,0.060104,NA,NA
200707,9,Sample8,Kozaks,HEK_G542Ac3,G698C,48-well,SARS1,G70C,500,NA,145800,8.814815,74.611111,9.903202,NA,NA
200707,10,Sample9,Kozaks,HEK_G542Ac3,G734A,48-well,SARS1,G70C,500,NA,133969,4.635401,80.443237,5.117427,NA,NA
200707,11,Sample10,Kozaks,HEK_G542Ac3,G735A,48-well,SARS1,G70C,500,NA,129873,6.064386,73.668892,7.006982,NA,NA
200707,12,Sample11,Kozaks,HEK_G542Ac3,G755A,48-well,SARS1,G70C,500,NA,102888,0.686183,61.496968,0.867669,NA,NA
200707,13,Sample12,Kozaks,HEK_G542Ac3,G756A,48-well,SARS1,G70C,500,NA,97171,0.280948,55.354993,0.37926,NA,NA
200707,14,Sample13,Kozaks,HEK_G542Ac3,G757A,48-well,SARS1,G70C,500,NA,96049,0.240502,63.306229,0.312474,NA,NA
200707,15,Sample14,Kozaks,HEK_G542Ac3,G758A,48-well,VSVG,G70C,6,NA,113240,2.370187,93.167609,2.442585,NA,NA
200707,16,Sample15,Kozaks,HEK_G542Ac3,G698C,48-well,VSVG,G70C,6,NA,147412,2.069031,79.928364,2.137086,NA,NA
200707,17,Sample16,Kozaks,HEK_G542Ac3,G734A,48-well,VSVG,G70C,6,NA,152778,2.018615,84.628022,2.094468,NA,NA
200707,18,Sample17,Kozaks,HEK_G542Ac3,G735A,48-well,VSVG,G70C,6,NA,155790,2.168945,74.097182,2.305173,NA,NA
200707,19,Sample18,Kozaks,HEK_G542Ac3,G755A,48-well,VSVG,G70C,6,NA,110380,2.180649,63.152745,2.408619,NA,NA
200707,20,Sample19,Kozaks,HEK_G542Ac3,G756A,48-well,VSVG,G70C,6,NA,102960,2.276612,51.720085,2.589623,NA,NA
200707,21,Sample20,Kozaks,HEK_G542Ac3,G757A,48-well,VSVG,G70C,6,NA,116888,2.292793,64.546403,2.543507,NA,NA
200707,29,Sample28,Constructs,HEK_G542Ac3,none,Dox,SARS2,G70C,800,NA,127868,0.118873,0.007039,0,NA,NA
200707,30,Sample29,Constructs,HEK_G542Ac3,G627B,Dox,SARS2,G70C,800,NA,133553,0.7892,67.877172,0.978467,NA,NA
200707,31,Sample30,Constructs,HEK_G542Ac3,G698C,Dox,SARS2,G70C,800,NA,136471,0.874178,40.717808,1.086957,NA,NA
200707,32,Sample31,Constructs,HEK_G542Ac3,G714C,Dox,SARS2,G70C,800,NA,130325,0.646844,59.903319,0.773675,NA,NA
200707,33,Sample32,Constructs,HEK_G542Ac3,G719B,Dox,SARS2,G70C,800,NA,127589,1.513453,83.89438,1.615284,NA,NA
200707,39,Sample38,Constructs,HEK_G542Ac3,none,Dox,SARS1,G70C,220,NA,124990,0.060805,0.203216,1.181102,NA,NA
200707,40,Sample39,Constructs,HEK_G542Ac3,G627B,Dox,SARS1,G70C,220,NA,130930,0.539219,70.834033,0.65234,NA,NA
200707,41,Sample40,Constructs,HEK_G542Ac3,G698C,Dox,SARS1,G70C,220,NA,116993,0.926551,60.396776,0.99349,NA,NA
200707,42,Sample41,Constructs,HEK_G542Ac3,G714C,Dox,SARS1,G70C,220,NA,126791,0.496881,60.442776,0.592411,NA,NA
200707,43,Sample42,Constructs,HEK_G542Ac3,G719B,Dox,SARS1,G70C,220,NA,102422,1.6598,90.79397,1.738841,NA,NA
