date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,pct_grn_gvn_nir,comment
200714,1,Sample,Staining,HEK G542Ac3,None,12-well,NA,G691A_supe,Dox,NA,44029,NA,0.009085,NA,NA,NA,11.176035,13.765252,NA,~1.5 hr staining
200714,2,Sample1,Staining,HEK G542Ac3,G758A,12-well,NA,G691A_supe,Dox,NA,26135,NA,82.900325,NA,NA,NA,11.286143,11.682727,NA,~1.5 hr staining
200714,3,Sample2,Staining,HEK G542Ac3,G698C,12-well,NA,G691A_supe,Dox,NA,37896,NA,57.808212,NA,NA,NA,568.99707,872.078003,NA,~1.5 hr staining
200714,4,Sample3,Staining,HEK G542Ac3,G734A,12-well,NA,G691A_supe,Dox,NA,30700,NA,62.612378,NA,NA,NA,13.749331,15.870979,NA,~1.5 hr staining
200714,5,Sample4,Staining,HEK G542Ac3,G735A,12-well,NA,G691A_supe,Dox,NA,33406,NA,55.211639,NA,NA,NA,10.666471,11.846864,NA,~1.5 hr staining
200714,6,Sample5,Staining,HEK G542Ac3,G755A,12-well,NA,G691A_supe,Dox,NA,23755,NA,35.685119,NA,NA,NA,12.161964,15.411244,NA,~1.5 hr staining
200714,7,Sample6,Staining,HEK G542Ac3,G756A,12-well,NA,G691A_supe,Dox,NA,21278,NA,26.473353,NA,NA,NA,11.448208,14.910503,NA,~1.5 hr staining
200714,8,Sample7,Staining,HEK G542Ac3,G757A,12-well,NA,G691A_supe,Dox,NA,22230,NA,34.840306,NA,NA,NA,11.126292,13.278894,NA,~1.5 hr staining
200714,9,Sample8,Staining,HEK G542Ac3,None,24-well,NA,G691A_supe,Dox,NA,21431,NA,0.032663,NA,NA,NA,15.222857,6.549369,NA,~1.5 hr staining
200714,10,Sample9,Staining,HEK G542Ac3,G627B,24-well,NA,G691A_supe,Dox,NA,24181,NA,71.349407,NA,NA,NA,533.429749,991.530762,NA,~1.5 hr staining
200714,11,Sample10,Staining,HEK G542Ac3,G698C,24-well,NA,G691A_supe,Dox,NA,26643,NA,54.171827,NA,NA,NA,473.771637,839.613525,NA,~1.5 hr staining
200714,12,Sample11,Staining,HEK G542Ac3,G714C,24-well,NA,G691A_supe,Dox,NA,25840,NA,58.72678,NA,NA,NA,552.529053,1074.455688,NA,~1.5 hr staining
200714,13,Sample12,Staining,HEK G542Ac3,G719B,24-well,NA,G691A_supe,Dox,NA,30099,NA,91.723978,NA,NA,NA,457.321442,564.75354,NA,~1.5 hr staining
200714,14,Sample13,Two_color,HEK G542Ac3,G752A/G758A,24-well,VSVG,G699A,1400,NA,127525,NA,45.725152,1.459416,31.143697,1.246349,NA,NA,NA,
200714,15,Sample14,Two_color,HEK G542Ac3,G752A/G758A,24-well,SARS2,G699A,1400,NA,37732,NA,46.093502,0.143744,27.581363,1.23955,NA,NA,NA,
200714,16,Sample15,Two_color,HEK G542Ac3,G752A/G758A,24-well,SARS1,G699A,1400,NA,80526,NA,52.99779,4.972233,25.068922,89.973745,NA,NA,NA,
200714,17,Sample16,Two_color,HEK G542Ac3,G752A/G758A,24-well,G740D,G699A,1400,NA,80648,NA,50.669576,2.146143,28.13089,53.770882,NA,NA,NA,
200714,18,Sample17,Two_color,HEK G542Ac3,G752A/G758A,24-well,G764B,G699A,1400,NA,82666,NA,54.221808,4.622627,24.59536,86.705686,NA,NA,NA,
200714,19,Sample18,Two_color,HEK G542Ac3,G752A/G758A,24-well,G776C,G699A,1400,NA,83162,NA,50.709459,0.061654,28.082538,0.436756,NA,NA,NA,
200714,20,Sample19,Two_color,HEK G542Ac3,G752A/G758A,24-well,G777A,G699A,1400,NA,75970,NA,49.623536,0.039789,28.746874,0.041211,NA,NA,NA,
200714,21,Sample20,Two_color,HEK G542Ac3,G752A/G758A,24-well,G778B,G699A,1400,NA,71083,NA,49.639154,0.059515,28.791694,0.410437,NA,NA,NA,
200710,22,Sample21,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.000316228,NA,173508,0.002305,76.466791,0.002261,NA,NA,NA,NA,NA,
200710,23,Sample22,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.001,NA,168197,0.005351,76.544171,0.003884,NA,NA,NA,NA,NA,
200710,24,Sample23,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.003162278,NA,141636,0.026123,76.193199,0.032432,NA,NA,NA,NA,NA,
200710,25,Sample24,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.01,NA,156817,0.072059,76.290198,0.083587,NA,NA,NA,NA,NA,
200710,26,Sample25,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.031622777,NA,169108,0.246588,75.854484,0.278306,NA,NA,NA,NA,NA,
200710,27,Sample26,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.1,NA,174119,1.405935,75.589683,1.553003,NA,NA,NA,NA,NA,
200710,28,Sample27,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,0.316227766,NA,144590,16.506674,74.020333,18.441313,NA,NA,NA,NA,NA,
200710,29,Sample28,Dilutions,HEK_G542Ac3,G627B,24-well,SARS1,G699A,1,NA,28222,52.866558,57.752817,64.94877,NA,NA,NA,NA,NA,
